INDICATOR,PANEL,PANEL_NUM,UNIT,UNIT_NUM,STUB_NAME,STUB_NAME_NUM,STUB_LABEL,STUB_LABEL_NUM,YEAR,YEAR_NUM,AGE,AGE_NUM,ESTIMATE,SE,FLAG
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Total,0,All persons,0.1,2000,1,All ages,0.1,1014848.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Total,0,All persons,0.1,2001,2,All ages,0.1,1142420.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Total,0,All persons,0.1,2002,3,All ages,0.1,1157798.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Total,0,All persons,0.1,2003,4,All ages,0.1,1114504.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Total,0,All persons,0.1,2004,5,All ages,0.1,1106067.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Total,0,All persons,0.1,2005,6,All ages,0.1,1169333.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Total,0,All persons,0.1,2006,7,All ages,0.1,1123354.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Total,0,All persons,0.1,2007,8,All ages,0.1,1200017.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Total,0,All persons,0.1,2008,9,All ages,0.1,1189619.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Total,0,All persons,0.1,2009,10,All ages,0.1,1270001.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Total,0,All persons,0.1,2010,11,All ages,0.1,1239387.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Total,0,All persons,0.1,2011,12,All ages,0.1,1249047.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,Under 18 years,1.1,2000,1,Under 18 years,1.1,212165.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,Under 18 years,1.1,2001,2,Under 18 years,1.1,220921.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,Under 18 years,1.1,2002,3,Under 18 years,1.1,238571.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,Under 18 years,1.1,2003,4,Under 18 years,1.1,223724.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,Under 18 years,1.1,2004,5,Under 18 years,1.1,220605.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,Under 18 years,1.1,2005,6,Under 18 years,1.1,238389.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,Under 18 years,1.1,2006,7,Under 18 years,1.1,231535.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,Under 18 years,1.1,2007,8,Under 18 years,1.1,240813.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,Under 18 years,1.1,2008,9,Under 18 years,1.1,225531.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,Under 18 years,1.1,2009,10,Under 18 years,1.1,239590.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,Under 18 years,1.1,2010,11,Under 18 years,1.1,246228.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,Under 18 years,1.1,2011,12,Under 18 years,1.1,263387.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,18-44 years,1.2,2000,1,18-44 years,1.2,315774.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,18-44 years,1.2,2001,2,18-44 years,1.2,341383.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,18-44 years,1.2,2002,3,18-44 years,1.2,337681.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,18-44 years,1.2,2003,4,18-44 years,1.2,331015.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,18-44 years,1.2,2004,5,18-44 years,1.2,314993.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,18-44 years,1.2,2005,6,18-44 years,1.2,324108.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,18-44 years,1.2,2006,7,18-44 years,1.2,317502.0,,
